[2023/12/18 08:42:43] {'model': 'anchor-based', 'device': 'cuda', 'seed': 12345, 'splits': ['../splits/tvsum.yml', '../splits/summe.yml'], 'max_epoch': 300, 'model_dir': '../models/ab_basic', 'log_file': 'log.txt', 'lr': 5e-05, 'weight_decay': 1e-05, 'lambda_reg': 1.0, 'nms_thresh': 0.5, 'ckpt_path': None, 'sample_rate': 15, 'source': None, 'save_path': None, 'base_model': 'attention', 'num_head': 8, 'num_feature': 1024, 'num_hidden': 128, 'neg_sample_ratio': 2.0, 'incomplete_sample_ratio': 1.0, 'pos_iou_thresh': 0.6, 'neg_iou_thresh': 0.0, 'incomplete_iou_thresh': 0.3, 'anchor_scales': [4, 8, 16, 32], 'lambda_ctr': 1.0, 'cls_loss': 'focal', 'reg_loss': 'soft-iou'}
[2023/12/18 08:42:43] Start training on tvsum: split 0
[2023/12/18 08:45:02] Epoch: 121/300 Loss: 0.5659/0.3155/0.8814 F-score cur/max: 0.6013/0.6293
[2023/12/18 08:45:03] Epoch: 122/300 Loss: 0.5699/0.3074/0.8773 F-score cur/max: 0.5628/0.6293
[2023/12/18 08:45:05] Epoch: 123/300 Loss: 0.5479/0.3002/0.8481 F-score cur/max: 0.5580/0.6293
[2023/12/18 08:45:06] Epoch: 124/300 Loss: 0.5424/0.2999/0.8422 F-score cur/max: 0.5385/0.6293
[2023/12/18 08:45:07] Epoch: 125/300 Loss: 0.5461/0.2965/0.8427 F-score cur/max: 0.5421/0.6293
[2023/12/18 08:45:08] Epoch: 126/300 Loss: 0.5616/0.3131/0.8747 F-score cur/max: 0.5398/0.6293
[2023/12/18 08:45:09] Epoch: 127/300 Loss: 0.5265/0.3016/0.8281 F-score cur/max: 0.5391/0.6293
[2023/12/18 08:45:10] Epoch: 128/300 Loss: 0.5471/0.2991/0.8462 F-score cur/max: 0.5701/0.6293
[2023/12/18 08:45:11] Epoch: 129/300 Loss: 0.5559/0.2809/0.8368 F-score cur/max: 0.5515/0.6293
[2023/12/18 08:45:12] Epoch: 130/300 Loss: 0.5289/0.2861/0.8150 F-score cur/max: 0.5521/0.6293
[2023/12/18 08:45:13] Epoch: 131/300 Loss: 0.5375/0.2926/0.8301 F-score cur/max: 0.5783/0.6293
[2023/12/18 08:45:14] Epoch: 132/300 Loss: 0.5443/0.2884/0.8327 F-score cur/max: 0.5113/0.6293
[2023/12/18 08:45:15] Epoch: 133/300 Loss: 0.5309/0.2783/0.8092 F-score cur/max: 0.5285/0.6293
[2023/12/18 08:45:16] Epoch: 134/300 Loss: 0.5177/0.2735/0.7912 F-score cur/max: 0.5870/0.6293
[2023/12/18 08:45:17] Epoch: 135/300 Loss: 0.5169/0.2892/0.8061 F-score cur/max: 0.5604/0.6293
[2023/12/18 08:45:18] Epoch: 136/300 Loss: 0.5118/0.2745/0.7862 F-score cur/max: 0.5178/0.6293
[2023/12/18 08:45:20] Epoch: 137/300 Loss: 0.5151/0.2723/0.7874 F-score cur/max: 0.5009/0.6293
[2023/12/18 08:45:21] Epoch: 138/300 Loss: 0.5304/0.2694/0.7998 F-score cur/max: 0.5680/0.6293
[2023/12/18 08:45:22] Epoch: 139/300 Loss: 0.5303/0.2665/0.7968 F-score cur/max: 0.5761/0.6293
[2023/12/18 08:45:23] Epoch: 140/300 Loss: 0.5051/0.2511/0.7562 F-score cur/max: 0.5444/0.6293
[2023/12/18 08:45:24] Epoch: 141/300 Loss: 0.5186/0.2554/0.7741 F-score cur/max: 0.5493/0.6293
[2023/12/18 08:45:25] Epoch: 142/300 Loss: 0.5047/0.2615/0.7661 F-score cur/max: 0.5568/0.6293
[2023/12/18 08:45:26] Epoch: 143/300 Loss: 0.5052/0.2603/0.7655 F-score cur/max: 0.5268/0.6293
[2023/12/18 08:45:27] Epoch: 144/300 Loss: 0.5011/0.2564/0.7575 F-score cur/max: 0.5336/0.6293
[2023/12/18 08:45:28] Epoch: 145/300 Loss: 0.5266/0.2506/0.7772 F-score cur/max: 0.5821/0.6293
[2023/12/18 08:45:29] Epoch: 146/300 Loss: 0.5100/0.2483/0.7583 F-score cur/max: 0.5343/0.6293
[2023/12/18 08:45:30] Epoch: 147/300 Loss: 0.4976/0.2500/0.7476 F-score cur/max: 0.5434/0.6293
[2023/12/18 08:45:32] Epoch: 148/300 Loss: 0.4893/0.2513/0.7406 F-score cur/max: 0.5189/0.6293
[2023/12/18 08:45:33] Epoch: 149/300 Loss: 0.4980/0.2365/0.7345 F-score cur/max: 0.5480/0.6293
[2023/12/18 08:45:34] Epoch: 150/300 Loss: 0.5076/0.2405/0.7481 F-score cur/max: 0.5474/0.6293
[2023/12/18 08:45:35] Epoch: 151/300 Loss: 0.4928/0.2449/0.7377 F-score cur/max: 0.5313/0.6293
[2023/12/18 08:45:36] Epoch: 152/300 Loss: 0.4953/0.2365/0.7318 F-score cur/max: 0.5568/0.6293
[2023/12/18 08:45:37] Epoch: 153/300 Loss: 0.4840/0.2299/0.7139 F-score cur/max: 0.5713/0.6293
[2023/12/18 08:45:38] Epoch: 154/300 Loss: 0.4941/0.2277/0.7219 F-score cur/max: 0.5281/0.6293
[2023/12/18 08:45:39] Epoch: 155/300 Loss: 0.4816/0.2240/0.7056 F-score cur/max: 0.5600/0.6293
[2023/12/18 08:45:40] Epoch: 156/300 Loss: 0.5066/0.2300/0.7366 F-score cur/max: 0.5142/0.6293
[2023/12/18 08:45:41] Epoch: 157/300 Loss: 0.5219/0.2166/0.7385 F-score cur/max: 0.5394/0.6293
[2023/12/18 08:45:42] Epoch: 158/300 Loss: 0.5018/0.2205/0.7223 F-score cur/max: 0.5335/0.6293
[2023/12/18 08:45:43] Epoch: 159/300 Loss: 0.4982/0.2232/0.7214 F-score cur/max: 0.5557/0.6293
[2023/12/18 08:45:45] Epoch: 160/300 Loss: 0.4774/0.2182/0.6957 F-score cur/max: 0.5401/0.6293
[2023/12/18 08:45:46] Epoch: 161/300 Loss: 0.4890/0.2159/0.7049 F-score cur/max: 0.5202/0.6293
[2023/12/18 08:45:47] Epoch: 162/300 Loss: 0.4720/0.2104/0.6824 F-score cur/max: 0.5394/0.6293
[2023/12/18 08:45:48] Epoch: 163/300 Loss: 0.4655/0.2159/0.6814 F-score cur/max: 0.5282/0.6293
[2023/12/18 08:45:49] Epoch: 164/300 Loss: 0.4695/0.2113/0.6808 F-score cur/max: 0.5084/0.6293
[2023/12/18 08:45:50] Epoch: 165/300 Loss: 0.4623/0.2096/0.6719 F-score cur/max: 0.5239/0.6293
[2023/12/18 08:45:51] Epoch: 166/300 Loss: 0.4585/0.2126/0.6711 F-score cur/max: 0.5014/0.6293
[2023/12/18 08:45:52] Epoch: 167/300 Loss: 0.4673/0.2016/0.6690 F-score cur/max: 0.5165/0.6293
[2023/12/18 08:45:53] Epoch: 168/300 Loss: 0.4643/0.2000/0.6643 F-score cur/max: 0.5027/0.6293
[2023/12/18 08:45:54] Epoch: 169/300 Loss: 0.4498/0.1935/0.6433 F-score cur/max: 0.5344/0.6293
[2023/12/18 08:45:55] Epoch: 170/300 Loss: 0.4398/0.1929/0.6327 F-score cur/max: 0.5327/0.6293
[2023/12/18 08:45:56] Epoch: 171/300 Loss: 0.4687/0.1890/0.6577 F-score cur/max: 0.4886/0.6293
[2023/12/18 08:45:57] Epoch: 172/300 Loss: 0.4843/0.1836/0.6679 F-score cur/max: 0.5185/0.6293
[2023/12/18 08:45:58] Epoch: 173/300 Loss: 0.4696/0.1900/0.6596 F-score cur/max: 0.5245/0.6293
[2023/12/18 08:45:59] Epoch: 174/300 Loss: 0.4537/0.1867/0.6403 F-score cur/max: 0.5054/0.6293
[2023/12/18 08:46:01] Epoch: 175/300 Loss: 0.4603/0.1890/0.6493 F-score cur/max: 0.4806/0.6293
[2023/12/18 08:46:02] Epoch: 176/300 Loss: 0.4508/0.1834/0.6343 F-score cur/max: 0.5158/0.6293
[2023/12/18 08:46:03] Epoch: 177/300 Loss: 0.4558/0.1830/0.6388 F-score cur/max: 0.4957/0.6293
[2023/12/18 08:46:04] Epoch: 178/300 Loss: 0.4463/0.1743/0.6206 F-score cur/max: 0.5351/0.6293
[2023/12/18 08:46:05] Epoch: 179/300 Loss: 0.4547/0.1774/0.6320 F-score cur/max: 0.5504/0.6293
[2023/12/18 08:46:06] Epoch: 180/300 Loss: 0.4569/0.1688/0.6256 F-score cur/max: 0.5261/0.6293
